Model,Adipose,Adrenal,Artery,Brain,Esophagus,Heart,Immune,Intestine,Kidney,Liver,Lung,Muscle,Pancreas,Pituitary,Salivary,Skin,Stomach,Thyroid,Conventional
ANPEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANXA1,0,0,0,0,0.2765853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANXA10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANXA11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANXA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANXA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANXA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANXA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1G2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP2B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP3B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP3S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APBB1IP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APCS,0,0,0,0,0,0,0,0,0,0.006715577,0,0,0,0,0,0,0,0,0
APEX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APLP1,0,0,0,-0.072803125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003597818
APOA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOA2,0,0,0,0,0,0,0,0,0,0.1363787,0,0,0,0,0,0,0,0,0
APOA4,0,0,0,0,0,0,0,-0.2168311,0,0,0,0,0,0,0,0,0,0,0
APOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOC1,0,0,0,0,0,0,0,0,0,-0.03923316,0,0,0,0,0,0,0,0,0
APOD,0,0,0,0.01842278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02003218
APOF,0,0,0,0,0,0,0,0,0,-0.03028527,0,0,0,0,0,0,0,0,0
APOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AREG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05436237
ARF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARFIP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP30,0,0,0,0,0,0,-0.007709494,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARID3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARID4B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARL13B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARL2BP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARNTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ART3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135617
ART5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASAH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASAH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGR1,0,0,0,0,0,0,0,0,0,0.3960137,0,0,0,0,0,0,0,0,0
ASGR2,0,0,0,0,0,0,0,0,0,0.1070667,0,0,0,0,0,0,0,0,0
ASPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPSCR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASRGL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATF4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG16L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG4A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATOX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP1B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP1B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP1B3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP1B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP2B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP5F1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP5IF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP5PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP6AP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP6V1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP6V1F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP6V1G1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP6V1G2,0,0,0,-0.01239817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRAID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATXN10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
